   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
      2     334       0       0 ?             -1 S        0   0:02 [jbd2/nvme0n1p8-8]
      2     335       0       0 ?             -1 I<       0   0:00 [kworker/R-ext4-]
      1     405     405     405 ?             -1 Ss       0   0:01 /usr/lib/systemd/systemd-journald
      1     429     429     429 ?             -1 Ss       0   0:00 /usr/lib/systemd/systemd-udevd
      2     502       0       0 ?             -1 S        0   0:00 [psimon]
      2     653       0       0 ?             -1 I<       0   0:00 [kworker/R-cfg80]
      2     657       0       0 ?             -1 S        0   0:34 [irq/159-iwlwifi:default_queue]
      2     658       0       0 ?             -1 S        0   0:02 [irq/160-iwlwifi:queue_1]
      2     659       0       0 ?             -1 S        0   0:03 [irq/161-iwlwifi:queue_2]
      2     660       0       0 ?             -1 S        0   0:03 [irq/162-iwlwifi:queue_3]
      2     661       0       0 ?             -1 S        0   0:04 [irq/163-iwlwifi:queue_4]
      2     662       0       0 ?             -1 S        0   0:00 [irq/164-iwlwifi:queue_5]
      2     663       0       0 ?             -1 S        0   0:03 [irq/165-iwlwifi:queue_6]
      2     664       0       0 ?             -1 S        0   0:04 [irq/166-iwlwifi:queue_7]
      2     665       0       0 ?             -1 S        0   0:01 [irq/167-iwlwifi:queue_8]
      2     666       0       0 ?             -1 S        0   0:01 [irq/168-iwlwifi:queue_9]
      2     667       0       0 ?             -1 S        0   0:02 [irq/169-iwlwifi:queue_10]
      2     668       0       0 ?             -1 S        0   0:02 [irq/170-iwlwifi:queue_11]
      2     669       0       0 ?             -1 S        0   0:03 [irq/171-iwlwifi:queue_12]
      2     670       0       0 ?             -1 S        0   0:02 [irq/172-iwlwifi:queue_13]
      2     671       0       0 ?             -1 S        0   0:03 [irq/173-iwlwifi:queue_14]
      2     672       0       0 ?             -1 S        0   0:00 [irq/174-iwlwifi:exception]
      2     677       0       0 ?             -1 I<       0   0:00 [kworker/R-crypt]
      2     695       0       0 ?             -1 S        0   0:00 [irq/16-processor_thermal_device_pci]
      2     710       0       0 ?             -1 I<       0   0:00 [kworker/R-ttm]
      2     712       0       0 ?             -1 S        0   0:00 [card1-crtc0]
      2     713       0       0 ?             -1 S        0   0:00 [card1-crtc1]
      2     714       0       0 ?             -1 S        0   0:00 [card1-crtc2]
      2     715       0       0 ?             -1 S        0   0:00 [card1-crtc3]
      1     869     869     869 ?             -1 Ss     990   0:09 /usr/lib/systemd/systemd-oomd
      1     870     870     870 ?             -1 Ss     991   0:01 /usr/lib/systemd/systemd-resolved
      1     871     871     871 ?             -1 Ssl    996   0:00 /usr/lib/systemd/systemd-timesyncd
      1     922     922     922 ?             -1 Ss     108   0:00 avahi-daemon: running [olesya-BRN-GXXX.local]
      1     923     923     923 ?             -1 Ss       0   0:00 /usr/libexec/bluetooth/bluetoothd
      1     924     924     924 ?             -1 Ss     101   0:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
      1     927     927     927 ?             -1 Ssl    987   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
      1     930     930     930 ?             -1 Ss       0   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
      1     931     931     931 ?             -1 Ssl    988   0:00 /usr/lib/polkit-1/polkitd --no-debug
      1     933     933     933 ?             -1 Ssl      0   0:00 /usr/libexec/power-profiles-daemon
      1     941     941     941 ?             -1 Ssl      0   0:03 /usr/lib/snapd/snapd
      1     946     946     946 ?             -1 S<s      0   0:00 /usr/lib/systemd/systemd-logind
      1     949     949     949 ?             -1 Ssl      0   0:00 /usr/libexec/accounts-daemon
      1     950     950     950 ?             -1 Ss       0   0:00 /usr/sbin/cron -f -P
      1     953     953     953 ?             -1 Ssl      0   0:00 /usr/libexec/switcheroo-control
      1     957     957     957 ?             -1 Ssl      0   0:05 /usr/sbin/thermald --systemd --dbus-enable --adaptive
      1     962     962     962 ?             -1 Ssl      0   0:00 /usr/libexec/udisks2/udisksd
      1     977     977     977 ?             -1 Ssl      0   0:04 /usr/sbin/NetworkManager --no-daemon
    922     978     922     922 ?             -1 S      108   0:00 avahi-daemon: chroot helper
      1     979     979     979 ?             -1 Ss       0   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
      1    1006    1006    1006 ?             -1 Ssl    102   0:00 /usr/sbin/rsyslogd -n -iNONE
      1    1087    1087    1087 ?             -1 Ssl      0   0:00 /usr/sbin/ModemManager
      1    1102    1102    1102 ?             -1 Ssl      0   0:01 /usr/libexec/upowerd
      2    1201       0       0 ?             -1 S        0   0:00 [irq/176-AudioDSP]
      1    1445    1445    1445 ?             -1 Ssl      0   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
      1    1462    1462    1462 ?             -1 Ssl      0   0:00 /usr/sbin/gdm3
      1    1471    1471    1471 ?             -1 Ss     122   0:00 /usr/lib/postgresql/16/bin/postgres -D /var/lib/postgresql/16/main -c config_file=/etc/postgresql/16/main/postgresql.conf
   1471    1472    1472    1472 ?             -1 Ss     122   0:00 postgres: 16/main: checkpointer 
   1471    1473    1473    1473 ?             -1 Ss     122   0:00 postgres: 16/main: background writer 
   1471    1475    1475    1475 ?             -1 Ss     122   0:00 postgres: 16/main: walwriter 
   1471    1476    1476    1476 ?             -1 Ss     122   0:00 postgres: 16/main: autovacuum launcher 
   1471    1477    1477    1477 ?             -1 Ss     122   0:00 postgres: 16/main: logical replication launcher 
      2    1500       0       0 ?             -1 S        0   0:00 [psimon]
      1    1536    1536    1536 ?             -1 SNsl   117   0:00 /usr/libexec/rtkit-daemon
      2    1665       0       0 ?             -1 S<       0   0:00 [krfcommd]
      1    1671    1671    1671 ?             -1 Ssl    118   0:00 /usr/libexec/colord
   1462    2032    1462    1462 ?             -1 Sl       0   0:00 gdm-session-worker [pam/gdm-password]
      1    2042    2042    2042 ?             -1 Ss     106   0:00 /usr/sbin/kerneloops --test
      1    2045    2045    2045 ?             -1 Ss     106   0:00 /usr/sbin/kerneloops
      1    2076    2076    2076 ?             -1 Ss    1000   0:02 /usr/lib/systemd/systemd --user
   2076    2083    2076    2076 ?             -1 S     1000   0:00 (sd-pam)
   2076    2092    2092    2092 ?             -1 S<sl  1000   1:11 /usr/bin/pipewire
   2076    2093    2093    2093 ?             -1 Ssl   1000   0:00 /usr/bin/pipewire -c filter-chain.conf
   2076    2094    2094    2094 ?             -1 Ss    1000   0:00 /snap/snapd-desktop-integration/247/usr/bin/snapd-desktop-integration
   2076    2096    2096    2096 ?             -1 S<sl  1000   0:01 /usr/bin/wireplumber
   2076    2098    2098    2098 ?             -1 S<sl  1000   1:50 /usr/bin/pipewire-pulse
   2076    2099    2099    2099 ?             -1 SLsl  1000   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
   2076    2116    2116    2116 ?             -1 Ss    1000   0:03 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2076    2155    2155    2155 ?             -1 Ssl   1000   0:00 /usr/libexec/xdg-document-portal
   2076    2165    2165    2165 ?             -1 Ssl   1000   0:00 /usr/libexec/xdg-permission-store
   2155    2174    2174    2174 ?             -1 Ss       0   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   2032    2207    2207    2207 tty2        2207 Ssl+  1000   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   2207    2215    2207    2207 tty2        2207 Sl+   1000   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
   2076    2266    2266    2266 ?             -1 Ssl   1000   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
   2076    2268    2268    2268 ?             -1 Ssl   1000   0:00 /usr/libexec/gnome-session-ctl --monitor
   2076    2283    2283    2283 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfsd
   2076    2291    2283    2283 ?             -1 Sl    1000   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2076    2294    2294    2294 ?             -1 Ssl   1000   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2076    2342    2342    2342 ?             -1 Ssl   1000  12:56 /usr/bin/gnome-shell
   2294    2343    2294    2294 ?             -1 Sl    1000   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
   2343    2357    2294    2294 ?             -1 S     1000   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
